MinimumDistance,MaximumDistance,AverageDistance,StdDev,,
20.818157,66.87757,41.50772,9.143465,,
80.4578,158.50397,124.64852,13.769975,,
3.6879137,68.70961,33.555115,11.103356,,
1.147625,99.89771,43.175713,16.505354,,
22.020647,117.64149,68.36332,16.407515,,
1.9281083,86.93961,44.27782,14.899122,,
0.7319396,112.8068,59.481853,20.840305,,
12.588589,156.13335,86.98767,28.043892,,
100.93271,116.19168,108.13608,3.1742215,,
100.93271,116.19168,108.13608,3.1742215,,
81.171585,140.3539,113.46759,12.402168,,
92.71394,131.25905,112.274994,8.810504,,
91.8255,160.26096,127.937096,11.778272,,
78.54499,123.01397,99.33243,8.470561,,
114.40899,222.1774,171.48215,24.952015,,
98.31204,132.78471,114.92744,7.409553,,
98.31204,132.78471,114.92744,7.409553,,
28.271534,157.02217,82.40496,30.501234,,
4.7800636,104.695015,54.24524,22.119055,,
4.7800636,104.695015,54.24524,22.119055,,
2.6590714,106.16362,53.697548,24.31044,,
2.6590714,106.16362,53.697548,24.31044,,
2.6590714,106.16362,53.697548,24.31044,,
6.783145,36.792866,19.828611,5.9778886,,
8.589241,100.833336,58.387424,20.242876,,
8.589241,100.833336,58.387424,20.242876,,
8.589241,100.833336,58.387424,20.242876,,
75.897194,195.92139,140.82164,23.827656,,
4.3531523,110.98258,52.204685,28.43601,,
2.0684724,51.10736,23.999384,9.216014,,
1.2581916,70.71641,32.649185,13.275345,,
13.063276,171.29155,94.17454,45.59697,,
2.1813908,30.831556,13.968857,6.0420356,,
4.1301427,80.75056,31.585176,11.020546,,
437.94897,528.7084,478.63074,14.076256,,
438.5886,513.6217,476.01132,12.7251835,,
245.63512,420.3575,332.781,27.637142,,
400.81192,483.87433,441.9753,13.704942,,
400.81192,483.87433,441.9753,13.704942,,
0.505511,41.079586,16.138327,6.674496,,
1.4322375,53.856777,21.282259,8.647287,,
13.742413,79.87361,44.278458,11.487298,,
13.742413,79.87361,44.278458,11.487298,,
363.73264,478.43787,416.52026,18.858475,,
55.889626,133.48485,93.22583,13.546931,,
14.735497,69.28764,41.020164,10.007511,,
25.164932,126.68829,73.21724,15.973946,,
25.164932,126.68829,73.21724,15.973946,,
46.419815,110.33759,77.88695,11.447729,,
0.7718819,121.600945,56.551914,21.558353,,
0.97337914,69.594,30.136908,11.016308,,
22.612144,109.381096,67.22285,15.543325,,
104.46492,200.76744,147.77235,17.28361,,
42.971466,171.00755,98.14781,21.887207,,
4.698248,113.14095,54.069103,22.366127,,
295.00293,434.07764,362.7266,28.643269,,
35.274105,121.09754,74.69855,17.522964,,
12.252573,92.78594,47.94484,13.902713,,
4.203986,130.47937,56.386627,18.360336,,
4.7237015,155.21263,73.625984,21.256496,,
4.7237015,155.21263,73.625984,21.256496,,
48.15337,173.29465,105.805954,19.340714,,
16.075266,139.9424,83.54806,21.450155,,
18.480125,156.21857,94.52134,20.84239,,
85.49582,270.1054,181.26537,32.21604,,
0.73128146,192.84831,79.91327,33.660336,,
34.629566,143.96747,85.41645,19.015215,,
23.699451,207.77104,121.63758,26.302065,,
40.69979,185.8815,117.63507,24.149109,,
55.29127,152.44838,105.229065,18.011856,,
54.02479,223.62352,143.87392,29.538797,,
52.851917,180.13661,118.47269,25.300898,,
0.4792295,174.84346,76.86898,27.907948,,
125.272804,233.87294,176.4112,16.26029,,
101.23694,268.6145,185.91316,26.835556,,
33.569057,158.35675,95.75132,22.290998,,
64.5676,189.1124,127.43148,23.106401,,
62.4905,136.34938,94.26297,12.791531,,
62.4905,136.34938,94.26297,12.791531,,
62.4905,136.34938,94.26297,12.791531,,
62.488735,115.73616,87.29905,10.462487,,
