Node1,Node2,MinimumDistance,MaximumDistance,AverageDistance,StdDev,Label
206,575,39.675175,273.25598,154.21443,50.06422,1
206,606,24.208244,245.03035,135.48639,47.530758,1
206,592,24.208244,245.03035,135.48639,47.530758,1
206,576,0.500937,192.57404,80.95213,43.11478,1
206,595,0.500937,192.57404,80.95213,43.11478,1
206,605,1.742752,172.36392,70.75073,34.107002,1
206,612,10.132497,175.95563,86.95991,44.130653,1
206,614,25.473091,166.95407,93.7995,31.308619,1
206,660,25.473091,166.95407,93.7995,31.308619,1
206,207,0.9154521,167.55316,86.15806,39.483635,1
206,602,0.9154521,167.55316,86.15806,39.483635,1
206,730,6.162431,221.39534,110.84953,51.343376,1
207,576,0.7118038,105.35346,51.603535,19.009472,1
207,608,1.0163596,130.48485,66.79465,19.786537,1
207,514,9.329716,125.5345,64.552666,19.747917,1
207,592,9.329716,125.5345,64.552666,19.747917,1
207,609,187.2533,330.4626,259.91745,26.065222,1
207,610,1.276235,91.810234,35.50484,17.6516,1
207,612,1.276235,91.810234,35.50484,17.6516,1
207,613,1.276235,91.810234,35.50484,17.6516,1
207,678,1.276235,91.810234,35.50484,17.6516,1
207,625,9.649854,87.322586,44.16428,14.25636,1
207,1072,2.0858414,161.4109,69.44062,26.67747,1
207,783,93.367584,208.34047,145.46866,19.44748,1
210,1466,56.00019,144.63846,106.468315,13.591816,1
211,858,0.7186898,56.646057,19.768803,9.230097,1
211,634,7.2342806,78.32861,50.181263,11.245697,1
215,216,43.487133,111.51659,75.411644,11.9724455,1
215,218,25.64518,251.5508,138.98004,50.164654,1
215,738,19.720428,87.56998,50.380615,11.428385,1
215,895,14.167366,141.98763,75.76536,23.928585,1
216,535,1.0421835,42.845474,16.665037,7.0404286,1
216,218,78.60667,256.556,167.85155,35.13603,1
216,550,35.784477,86.04439,60.276062,9.115143,1
216,1503,0.4911996,82.324585,22.255566,14.1048355,1
216,738,30.968271,127.66216,81.64501,18.173475,1
216,978,1.4637792,46.347637,23.537746,8.33181,1
216,989,7.5990195,80.1392,44.627758,12.281327,1
216,1245,26.881214,104.74417,64.10901,11.001348,1
217,222,15.389564,88.60563,56.86795,10.60002,1
217,448,11.401681,111.627525,60.467255,18.142242,1
218,535,70.88692,260.18365,168.35072,35.637794,1
218,530,81.961395,259.48932,170.85474,35.96989,1
218,529,40.23642,246.87619,150.86003,36.51258,1
225,1774,29.371996,160.54567,94.61551,25.94083,1
